topic,n,first,p25,median,p75,iqr_years,peak_year,peak_count,recent_share
other,9,2017.96,2018.78,2021.58,2024.59,5.81,2018,2,0.333
governance,10,2018.51,2020.51,2022.13,2022.53,2.02,2022,3,0.2
reputation-identity,39,2016.26,2018.78,2022.25,2023.48,4.7,2022,11,0.179
security-permissions,57,2016.05,2021.77,2022.69,2024.08,2.3,2022,17,0.281
nft,136,2018.06,2022.2,2022.76,2023.57,1.37,2022,51,0.162
infrastructure-meta,175,2016.04,2020.04,2023.06,2024.72,4.68,2024,31,0.366
defi,37,2018.01,2021.26,2023.19,2023.93,2.67,2023,12,0.189
tokens-fungible,71,2015.88,2020.28,2023.24,2024.32,4.04,2023,13,0.338
rwa,13,2018.12,2020.69,2023.4,2025.44,4.75,2018,3,0.385
account-abstraction,44,2018.34,2023.11,2023.95,2024.75,1.64,2023,14,0.477
agentic-workflows,9,2024.28,2025.4,2025.61,2025.77,0.38,2025,5,1.0
